DATA_OBITO,OUTRAS,COVID - RS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-17,117,0,3,21,30,26,0
2019-03-18,115,0,3,10,38,43,0
2019-03-19,107,0,0,21,41,33,0
2019-03-20,135,0,1,18,31,25,0
2019-03-21,123,0,2,13,25,42,1
2019-03-22,135,0,1,14,30,46,0
2019-03-23,123,0,2,14,29,30,0
2019-03-24,110,0,1,21,33,39,0
2019-03-25,126,0,0,9,33,28,0
2019-03-26,104,0,2,15,30,34,0
2019-03-27,109,0,1,20,35,28,0
2019-03-28,109,0,4,15,37,26,0
2019-03-29,124,0,4,23,33,35,0
2019-03-30,115,0,1,16,46,29,1
2019-03-31,128,0,3,15,33,47,0
2019-04-01,120,0,2,25,34,31,0
2019-04-02,126,0,0,20,33,38,1
2019-04-03,111,0,2,27,38,34,0
2019-04-04,116,0,3,19,38,35,0
2019-04-05,125,0,0,14,40,24,0
2019-04-06,114,0,0,19,29,38,0
2019-04-07,93,0,2,25,35,30,0
2019-04-08,110,0,0,20,38,28,0
2019-04-09,117,0,1,21,38,30,0
2019-04-10,135,0,2,17,42,35,1
2019-04-11,114,0,0,16,36,25,0
2019-04-12,116,0,2,20,33,27,0
2019-04-13,125,0,2,17,42,24,2
2019-04-14,133,0,1,12,29,35,0
2019-04-15,136,0,0,22,41,34,1
2019-04-16,123,0,1,15,36,34,0
2019-04-17,137,0,4,17,29,33,0
2019-04-18,118,0,1,16,39,34,0
2019-04-19,117,0,3,15,42,31,0
2019-04-20,111,0,0,24,36,20,0
2019-04-21,134,0,1,19,34,23,0
2019-04-22,95,0,0,20,52,36,0
2019-04-23,150,0,0,18,36,31,0
2019-04-24,112,0,2,18,34,28,1
2019-04-25,116,0,2,11,34,33,0
2019-04-26,89,0,0,20,35,35,0
2019-04-27,124,0,1,21,34,26,0
2019-04-28,120,0,1,18,22,30,0
2019-04-29,109,0,0,23,22,39,0
2019-04-30,123,0,1,18,36,33,0
2019-05-01,107,0,1,16,42,47,0
2019-05-02,115,0,1,17,40,35,0
2019-05-03,140,0,3,20,32,29,1
2019-05-04,118,0,0,13,26,37,1
2019-05-05,128,0,2,24,35,30,0
2019-05-06,119,0,0,25,30,20,1
2019-05-07,114,0,1,15,44,28,0
2019-05-08,135,0,1,23,47,34,0
2019-05-09,131,0,2,17,36,27,0
2019-05-10,127,0,2,18,35,32,0
2019-05-11,98,0,3,27,45,31,0
2019-05-12,124,0,0,18,40,26,0
2019-05-13,131,0,0,16,24,33,0
2019-05-14,138,0,2,14,34,35,0
2019-05-15,147,0,1,24,32,32,0
2019-05-16,118,0,0,25,32,34,0
2019-05-17,121,0,5,16,44,24,1
2019-05-18,146,0,3,13,28,32,0
2019-05-19,130,0,4,15,46,31,1
2019-05-20,136,0,1,17,46,32,0
2019-05-21,140,0,1,18,30,33,0
2019-05-22,128,0,0,16,32,43,0
2019-05-23,126,0,1,19,33,27,0
2019-05-24,145,0,2,25,47,34,0
2019-05-25,120,0,2,25,38,22,0
2019-05-26,140,0,1,16,50,41,0
2019-05-27,126,0,1,23,45,33,0
2019-05-28,128,0,1,15,39,38,1
2019-05-29,134,0,3,23,33,45,0
2019-05-30,137,0,2,21,25,42,1
2019-05-31,143,0,2,19,37,43,0
2019-06-01,131,0,2,32,40,30,1
2019-06-02,149,0,0,15,50,38,1
2019-06-03,134,0,1,19,39,28,0
2019-06-04,127,0,3,27,52,21,1
2019-06-05,157,0,3,29,42,35,0
2019-06-06,158,0,0,28,46,34,0
2019-06-07,147,0,1,16,40,27,0
2019-06-08,130,0,1,17,35,36,0
2019-06-09,132,0,7,19,48,34,0
2019-06-10,132,0,2,22,47,36,1
2019-06-11,126,0,4,22,61,35,0
2019-06-12,150,0,0,20,40,33,0
2019-06-13,154,0,0,27,48,37,0
2019-06-14,131,0,0,19,66,37,0
2019-06-15,126,0,1,16,49,35,0
2019-06-16,123,0,4,19,55,17,0
2019-06-17,134,0,1,25,40,42,0
2019-06-18,155,0,3,18,48,48,1
2019-06-19,112,0,1,17,38,34,1
2019-06-20,140,0,1,23,40,30,0
2019-06-21,139,0,0,17,56,31,0
2019-06-22,124,0,1,14,63,30,0
2019-06-23,138,0,0,18,53,31,1
2019-06-24,117,0,0,23,55,32,0
2019-06-25,128,0,1,20,36,32,0
2019-06-26,143,0,1,18,68,36,0
2019-06-27,146,0,4,30,62,35,0
2019-06-28,155,0,1,25,38,37,0
2019-06-29,153,0,1,19,58,37,0
2019-06-30,129,0,2,22,44,42,1
2019-07-01,134,0,5,22,51,30,0
2019-07-02,165,0,4,25,55,40,1
2019-07-03,139,0,2,31,50,29,0
2019-07-04,168,0,0,22,48,43,0
2019-07-05,164,0,1,23,52,38,0
2019-07-06,176,0,1,26,53,37,0
2019-07-07,164,0,6,20,51,38,0
2019-07-08,209,0,3,32,75,41,0
2019-07-09,172,0,2,23,61,33,0
2019-07-10,195,0,0,21,57,39,2
2019-07-11,172,0,2,30,65,38,0
2019-07-12,181,0,1,29,49,40,0
2019-07-13,149,0,1,28,70,43,0
2019-07-14,153,0,6,25,61,38,1
2019-07-15,151,0,3,18,50,36,1
2019-07-16,159,0,5,33,65,46,0
2019-07-17,169,0,2,21,52,29,1
2019-07-18,170,0,3,27,65,25,0
2019-07-19,144,0,0,19,74,38,0
2019-07-20,153,0,2,31,70,36,1
2019-07-21,169,0,1,16,58,46,0
2019-07-22,170,0,4,25,70,54,1
2019-07-23,124,0,2,22,56,35,0
2019-07-24,149,0,4,34,59,31,0
2019-07-25,156,0,3,23,69,44,1
2019-07-26,145,0,1,33,67,25,2
2019-07-27,150,0,3,21,66,43,0
2019-07-28,156,0,4,28,45,39,0
2019-07-29,159,0,3,17,54,34,0
2019-07-30,151,0,1,23,64,37,0
2019-07-31,168,0,1,19,58,35,0
2019-08-01,159,0,6,16,65,40,1
2019-08-02,163,0,2,36,56,38,0
2019-08-03,140,0,5,34,54,39,1
2019-08-04,139,0,7,32,49,33,0
2019-08-05,202,0,4,16,67,31,0
2019-08-06,175,0,1,29,54,34,0
2019-08-07,146,0,0,24,73,42,0
2019-08-08,181,0,1,22,76,37,1
2019-08-09,164,0,1,22,51,50,0
2019-08-10,131,0,3,25,43,31,2
2019-08-11,142,0,1,14,53,29,0
2019-08-12,159,0,0,24,61,50,1
2019-08-13,138,0,1,11,46,35,0
2019-08-14,146,0,2,18,66,40,0
2019-08-15,146,0,3,14,55,29,0
2019-08-16,181,0,2,20,63,51,0
2019-08-17,152,0,1,29,62,24,1
2019-08-18,145,0,1,17,42,36,1
2019-08-19,126,0,2,29,59,32,0
2019-08-20,174,0,2,15,66,36,0
2019-08-21,141,0,0,21,64,36,0
2019-08-22,143,0,1,34,55,36,1
2019-08-23,154,0,3,22,54,37,0
2019-08-24,154,0,1,20,41,31,0
2019-08-25,152,0,2,25,53,34,0
2019-08-26,161,0,1,26,76,38,2
2019-08-27,155,0,2,31,72,42,0
2019-08-28,156,0,3,13,54,49,1
2019-08-29,150,0,2,31,60,40,0
2019-08-30,151,0,1,24,54,36,0
2019-08-31,135,0,3,16,56,43,0
2019-09-01,130,0,0,19,46,51,0
2019-09-02,119,0,1,13,60,34,0
2019-09-03,155,0,1,19,55,35,0
2019-09-04,142,0,1,26,60,30,0
2019-09-05,146,0,4,27,67,27,0
2019-09-06,145,0,2,19,62,33,1
2019-09-07,153,0,5,29,58,44,0
2019-09-08,162,0,1,22,62,42,1
2019-09-09,152,0,3,25,50,44,1
2019-09-10,114,0,1,28,54,36,0
2019-09-11,147,0,1,22,46,35,0
2019-09-12,125,0,1,21,45,41,1
2019-09-13,122,0,0,25,54,31,0
2019-09-14,138,0,2,28,51,40,0
2019-09-15,133,0,3,20,48,27,0
2019-09-16,152,0,0,25,63,36,0
2019-09-17,127,0,1,20,54,33,0
2019-09-18,118,0,0,24,61,30,1
2019-09-19,144,0,2,20,50,44,0
2019-09-20,134,0,1,11,58,28,1
2019-09-21,121,0,1,27,43,23,1
2019-09-22,152,0,2,15,35,33,0
2019-09-23,161,0,2,15,41,37,0
2019-09-24,125,0,1,26,42,32,0
2019-09-25,135,0,2,24,71,31,0
2019-09-26,150,0,0,21,50,36,0
2019-09-27,150,0,2,20,44,35,0
2019-09-28,142,0,4,22,44,28,1
2019-09-29,129,0,1,22,47,37,1
2019-09-30,136,0,3,20,54,26,0
2019-10-01,161,0,3,29,76,38,1
2019-10-02,161,0,2,25,57,41,1
2019-10-03,126,0,1,16,59,35,0
2019-10-04,132,0,0,21,53,39,0
2019-10-05,117,0,3,18,48,23,1
2019-10-06,122,0,2,27,43,29,0
2019-10-07,134,0,0,25,50,24,0
2019-10-08,147,0,0,21,50,45,0
2019-10-09,122,0,0,19,46,36,0
2019-10-10,126,0,1,16,49,30,0
2019-10-11,142,0,0,21,40,35,0
2019-10-12,176,0,0,16,49,42,0
2019-10-13,140,0,2,17,60,32,0
