DATA_OBITO,OUTRAS,COVID - ES,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-06-26,38,0,0,3,20,11,0
2019-06-27,44,0,0,4,8,14,0
2019-06-28,37,0,0,2,11,11,0
2019-06-29,32,0,0,3,12,11,0
2019-06-30,50,0,0,3,8,9,0
2019-07-01,50,0,0,4,18,13,0
2019-07-02,37,0,0,5,21,11,0
2019-07-03,33,0,0,5,19,14,0
2019-07-04,34,0,0,3,15,12,0
2019-07-05,27,0,0,6,19,13,0
2019-07-06,33,0,0,3,19,16,0
2019-07-07,30,0,0,3,12,10,0
2019-07-08,31,0,0,4,16,10,0
2019-07-09,26,0,0,3,5,12,0
2019-07-10,35,0,0,1,21,9,0
2019-07-11,28,0,0,7,14,8,0
2019-07-12,38,0,0,5,16,12,0
2019-07-13,42,0,0,3,25,8,1
2019-07-14,39,0,0,6,19,14,0
2019-07-15,26,0,0,6,18,8,0
2019-07-16,43,0,0,4,20,6,1
2019-07-17,31,0,1,7,13,10,0
2019-07-18,43,0,0,7,13,6,0
2019-07-19,31,0,0,3,19,5,0
2019-07-20,33,0,0,6,16,14,0
2019-07-21,37,0,0,2,23,15,0
2019-07-22,35,0,0,8,18,10,0
2019-07-23,34,0,0,3,13,8,0
2019-07-24,37,0,0,5,15,13,0
2019-07-25,51,0,0,4,19,25,1
2019-07-26,49,0,0,2,13,12,1
2019-07-27,40,0,0,3,14,7,0
2019-07-28,39,0,0,6,13,7,0
2019-07-29,41,0,0,7,14,12,0
2019-07-30,22,0,0,6,17,9,0
2019-07-31,34,0,0,3,17,12,0
2019-08-01,36,0,0,5,19,9,0
2019-08-02,36,0,0,5,13,9,0
2019-08-03,38,0,0,4,11,11,1
2019-08-04,32,0,0,3,15,13,0
2019-08-05,39,0,0,3,13,10,0
2019-08-06,46,0,0,5,16,10,0
2019-08-07,39,0,0,4,10,15,0
2019-08-08,42,0,0,5,15,16,0
2019-08-09,46,0,0,1,17,9,0
2019-08-10,40,0,0,6,12,7,1
2019-08-11,53,0,0,3,15,8,0
2019-08-12,31,0,0,7,17,16,0
2019-08-13,39,0,0,6,20,8,0
2019-08-14,19,0,0,5,16,15,0
2019-08-15,34,0,0,3,14,13,0
2019-08-16,26,0,0,2,13,10,0
2019-08-17,38,0,0,2,13,7,0
2019-08-18,29,0,0,5,15,13,0
2019-08-19,31,0,0,7,28,13,0
2019-08-20,52,0,0,0,14,9,0
2019-08-21,33,0,0,5,15,12,0
2019-08-22,31,0,0,4,14,9,0
2019-08-23,33,0,0,1,19,10,0
2019-08-24,31,0,0,3,13,10,0
2019-08-25,36,0,0,6,18,9,1
2019-08-26,24,0,0,3,14,7,0
2019-08-27,33,0,0,2,17,8,0
2019-08-28,33,0,0,3,21,8,0
2019-08-29,44,0,0,0,14,11,0
2019-08-30,48,0,0,3,13,9,0
2019-08-31,48,0,0,4,13,9,0
2019-09-01,34,0,0,2,16,11,0
2019-09-02,32,0,0,7,14,10,0
2019-09-03,35,0,0,7,10,14,0
2019-09-04,34,0,0,8,22,12,0
2019-09-05,34,0,0,2,18,5,0
2019-09-06,32,0,0,1,19,12,0
2019-09-07,30,0,0,10,8,8,0
2019-09-08,40,0,0,3,12,5,0
2019-09-09,39,0,0,7,14,6,0
2019-09-10,38,0,0,3,14,6,0
2019-09-11,34,0,0,1,20,12,0
2019-09-12,39,0,0,5,16,11,0
2019-09-13,37,0,0,4,10,8,0
2019-09-14,33,0,0,2,17,11,0
2019-09-15,40,0,0,2,19,14,0
2019-09-16,35,0,0,2,16,8,0
2019-09-17,33,0,0,4,14,11,1
2019-09-18,44,0,0,5,14,9,0
2019-09-19,34,0,0,6,13,15,1
2019-09-20,36,0,0,2,14,10,0
2019-09-21,21,0,0,3,21,8,0
2019-09-22,41,0,0,4,11,8,0
2019-09-23,32,0,0,7,10,11,0
2019-09-24,26,0,0,1,11,9,0
2019-09-25,28,0,0,4,18,6,0
2019-09-26,40,0,0,5,14,9,0
2019-09-27,37,0,0,3,22,9,0
2019-09-28,38,0,0,4,14,6,1
2019-09-29,56,0,0,4,12,5,0
2019-09-30,28,0,0,6,20,9,0
2019-10-01,29,0,0,2,9,13,0
2019-10-02,26,0,0,5,14,9,0
2019-10-03,38,0,0,9,13,9,0
2019-10-04,21,0,0,4,6,6,0
2019-10-05,43,0,0,3,16,13,0
2019-10-06,39,0,0,1,12,6,0
2019-10-07,31,0,0,0,10,7,0
2019-10-08,40,0,0,4,20,9,1
2019-10-09,29,0,0,3,15,12,0
2019-10-10,32,0,0,2,16,6,0
2019-10-11,33,0,0,4,8,11,0
2019-10-12,40,0,0,1,11,10,0
2019-10-13,39,0,0,2,14,6,0
