DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-12-11,30,0,0,2,9,2,0
2018-12-12,29,0,1,5,14,5,0
2018-12-13,19,0,0,3,10,2,0
2018-12-14,34,0,1,4,6,1,0
2018-12-15,18,0,1,4,9,8,1
2018-12-16,21,0,0,3,6,2,0
2018-12-17,20,0,0,1,11,7,0
2018-12-18,24,0,0,2,13,6,0
2018-12-19,28,0,0,7,11,6,0
2018-12-20,31,0,1,2,7,7,0
2018-12-21,24,0,0,3,11,4,0
2018-12-22,22,0,0,2,10,6,0
2018-12-23,24,0,0,3,8,4,0
2018-12-24,25,0,0,3,10,7,0
2018-12-25,22,0,0,3,13,3,0
2018-12-26,22,0,0,3,11,8,0
2018-12-27,21,0,0,3,7,5,0
2018-12-28,19,0,0,2,7,6,0
2018-12-29,22,0,0,5,6,4,0
2018-12-30,16,0,0,4,14,5,0
2018-12-31,26,0,1,4,6,3,0
2019-01-01,18,0,0,4,6,7,0
2019-01-02,17,0,0,3,5,3,0
2019-01-03,15,0,0,6,8,4,0
2019-01-04,18,0,0,3,12,5,0
2019-01-05,27,0,0,1,9,7,0
2019-01-06,26,0,0,4,7,5,0
2019-01-07,13,0,0,3,13,7,0
2019-01-08,21,0,0,4,4,4,0
2019-01-09,16,0,0,3,10,7,1
2019-01-10,21,0,0,2,11,3,0
2019-01-11,22,0,0,2,6,4,0
2019-01-12,22,0,1,4,8,6,0
2019-01-13,29,0,0,2,9,4,0
2019-01-14,18,0,0,4,10,5,0
2019-01-15,19,0,0,3,5,4,0
2019-01-16,18,0,0,3,8,7,0
2019-01-17,15,0,0,5,10,2,0
2019-01-18,18,0,0,3,7,7,0
2019-01-19,12,0,0,5,4,2,0
2019-01-20,21,0,1,5,7,6,0
2019-01-21,14,0,1,7,5,5,0
2019-01-22,23,0,1,2,8,9,0
2019-01-23,19,0,0,4,14,6,0
2019-01-24,20,0,0,1,12,5,0
2019-01-25,29,0,1,7,5,6,0
2019-01-26,17,0,2,3,11,4,0
2019-01-27,29,0,0,2,6,6,0
2019-01-28,25,0,0,2,12,2,0
2019-01-29,28,0,0,6,7,5,0
2019-01-30,16,0,0,2,4,10,0
2019-01-31,28,0,0,7,16,5,0
2019-02-01,20,0,0,3,7,6,0
2019-02-02,15,0,0,2,5,3,0
2019-02-03,24,0,0,3,9,5,0
2019-02-04,16,0,0,2,11,5,0
2019-02-05,18,0,0,2,6,5,0
2019-02-06,22,0,0,0,8,3,0
2019-02-07,21,0,0,3,10,8,0
2019-02-08,21,0,0,2,12,6,0
2019-02-09,13,0,0,3,9,7,1
2019-02-10,17,0,1,7,5,6,0
2019-02-11,24,0,0,2,9,2,0
2019-02-12,18,0,0,6,7,4,0
2019-02-13,24,0,0,6,3,6,1
2019-02-14,26,0,0,5,12,2,0
2019-02-15,18,0,0,2,8,4,0
2019-02-16,16,0,0,4,9,7,0
2019-02-17,19,0,0,3,6,4,0
2019-02-18,16,0,1,2,15,7,0
2019-02-19,23,0,0,9,8,8,0
2019-02-20,17,0,0,3,15,8,1
2019-02-21,14,0,0,9,9,7,0
2019-02-22,20,0,0,5,9,3,0
2019-02-23,24,0,0,1,8,2,0
2019-02-24,20,0,0,1,7,13,0
2019-02-25,15,0,0,4,8,11,0
2019-02-26,17,0,0,7,6,3,0
2019-02-27,24,0,0,3,9,6,0
2019-02-28,29,0,0,3,11,4,0
2019-03-01,24,0,0,6,5,6,0
2019-03-02,12,0,0,5,3,3,0
2019-03-03,19,0,0,1,8,8,0
2019-03-04,20,0,0,6,6,9,0
2019-03-05,26,0,0,0,7,4,0
2019-03-06,26,0,1,4,6,5,0
2019-03-07,25,0,0,2,4,3,0
2019-03-08,15,0,0,4,5,6,0
2019-03-09,18,0,0,2,11,4,0
2019-03-10,10,0,0,1,9,7,0
2019-03-11,13,0,1,5,11,3,0
2019-03-12,18,0,0,4,7,3,0
2019-03-13,15,0,0,3,6,8,0
2019-03-14,25,0,0,2,8,5,0
2019-03-15,18,0,2,4,5,4,0
2019-03-16,16,0,0,2,7,5,0
2019-03-17,28,0,0,2,13,2,0
2019-03-18,23,0,1,4,8,2,0
2019-03-19,16,0,0,3,5,7,0
2019-03-20,19,0,0,3,4,5,0
2019-03-21,20,0,0,5,4,3,0
2019-03-22,19,0,0,3,7,4,0
2019-03-23,22,0,0,6,3,3,0
2019-03-24,23,0,0,4,10,5,0
2019-03-25,19,0,0,7,10,5,0
2019-03-26,23,0,0,6,9,3,0
2019-03-27,13,0,0,8,6,4,0
