DATA_OBITO,OUTRAS,COVID - RN,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-03-28,18,0,0,1,13,8,0
2019-03-29,20,0,0,3,10,4,0
2019-03-30,17,0,0,1,11,4,0
2019-03-31,20,0,2,5,7,8,0
2019-04-01,25,0,1,3,6,6,0
2019-04-02,26,0,0,4,11,5,0
2019-04-03,24,0,0,5,13,5,1
2019-04-04,21,0,0,4,13,12,1
2019-04-05,30,0,0,3,10,1,0
2019-04-06,28,0,0,7,5,4,0
2019-04-07,23,0,0,5,9,9,0
2019-04-08,30,0,0,4,11,7,0
2019-04-09,18,0,0,8,7,7,0
2019-04-10,19,0,2,2,7,9,1
2019-04-11,23,0,0,3,17,5,0
2019-04-12,29,0,1,5,14,12,0
2019-04-13,24,0,0,0,11,7,0
2019-04-14,26,0,0,3,12,6,0
2019-04-15,25,0,0,2,16,11,0
2019-04-16,21,0,1,2,15,7,0
2019-04-17,15,0,1,2,10,15,0
2019-04-18,34,0,1,4,10,7,1
2019-04-19,26,0,0,0,12,6,0
2019-04-20,25,0,1,4,12,5,0
2019-04-21,22,0,2,4,8,3,0
2019-04-22,35,0,1,2,11,6,0
2019-04-23,27,0,0,2,13,9,0
2019-04-24,24,0,0,6,10,7,0
2019-04-25,24,0,0,8,10,13,0
2019-04-26,19,0,2,3,16,4,0
2019-04-27,17,0,0,2,14,10,0
2019-04-28,26,0,0,7,13,10,0
2019-04-29,29,0,1,6,9,9,1
2019-04-30,27,0,1,2,14,5,0
2019-05-01,18,0,1,0,17,9,0
2019-05-02,19,0,0,5,5,4,0
2019-05-03,28,0,0,3,10,9,0
2019-05-04,21,0,0,2,9,9,2
2019-05-05,28,0,0,3,10,12,0
2019-05-06,21,0,0,3,12,8,0
2019-05-07,27,0,0,2,12,13,1
2019-05-08,24,0,0,5,11,2,0
2019-05-09,20,0,0,4,12,8,0
2019-05-10,28,0,0,1,12,15,0
2019-05-11,22,0,1,2,10,10,0
2019-05-12,21,0,1,2,13,6,0
2019-05-13,21,0,2,2,15,5,0
2019-05-14,26,0,0,7,11,8,0
2019-05-15,16,0,0,2,12,3,0
2019-05-16,24,0,0,2,10,10,0
2019-05-17,33,0,1,5,10,10,0
2019-05-18,31,0,1,0,17,9,0
2019-05-19,15,0,0,2,18,5,0
2019-05-20,24,0,0,3,7,9,0
2019-05-21,18,0,1,5,8,6,0
2019-05-22,26,0,0,3,9,9,0
2019-05-23,28,0,0,1,9,2,0
2019-05-24,16,0,0,3,9,10,0
2019-05-25,16,0,1,3,6,7,0
