DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-09-24,101,0,1,16,32,25,0
2018-09-25,98,0,1,17,35,23,0
2018-09-26,98,0,1,15,37,29,0
2018-09-27,106,0,0,11,31,21,0
2018-09-28,95,0,1,8,34,23,0
2018-09-29,110,0,0,19,32,32,2
2018-09-30,86,0,3,6,34,23,0
2018-10-01,95,0,2,12,23,16,1
2018-10-02,85,0,1,10,43,26,1
2018-10-03,104,0,1,16,31,18,1
2018-10-04,91,0,0,17,33,27,0
2018-10-05,89,0,0,10,27,20,0
2018-10-06,88,0,0,12,31,14,0
2018-10-07,83,0,0,19,24,25,0
2018-10-08,100,0,2,10,32,26,0
2018-10-09,82,0,2,15,37,27,1
2018-10-10,87,0,0,14,32,18,0
2018-10-11,97,0,3,12,29,23,3
2018-10-12,89,0,0,16,45,22,0
2018-10-13,84,0,0,11,23,30,0
2018-10-14,88,0,3,8,16,20,0
2018-10-15,89,0,1,19,23,27,1
2018-10-16,91,0,1,12,24,23,1
2018-10-17,78,0,1,8,31,29,0
2018-10-18,100,0,1,14,27,21,0
2018-10-19,103,0,1,16,20,25,1
2018-10-20,102,0,0,10,30,27,0
2018-10-21,103,0,0,9,25,17,0
2018-10-22,84,0,0,20,22,13,0
2018-10-23,99,0,0,13,27,31,1
2018-10-24,90,0,1,13,39,25,1
2018-10-25,79,0,0,23,32,24,1
2018-10-26,82,0,0,17,31,32,0
2018-10-27,95,0,3,14,30,26,0
2018-10-28,85,0,0,14,27,14,1
2018-10-29,99,0,1,15,26,23,0
2018-10-30,113,0,0,12,30,25,1
2018-10-31,103,0,1,15,41,28,0
2018-11-01,112,0,0,17,31,19,0
2018-11-02,89,0,0,19,32,30,0
2018-11-03,107,0,1,10,29,26,0
2018-11-04,91,0,0,19,35,25,0
2018-11-05,100,0,3,23,26,17,0
2018-11-06,98,0,0,13,24,23,0
2018-11-07,111,0,0,13,26,20,0
2018-11-08,94,0,0,17,27,20,0
2018-11-09,92,0,0,12,32,20,0
2018-11-10,87,0,1,12,28,21,0
2018-11-11,89,0,3,14,21,24,0
2018-11-12,86,0,0,13,35,21,0
2018-11-13,94,0,1,18,38,19,0
2018-11-14,102,0,1,15,34,19,1
2018-11-15,91,0,1,9,22,33,1
2018-11-16,96,0,0,15,32,26,0
