DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-10-03,16,0,0,3,8,0,0
2018-10-04,14,0,0,5,8,3,0
2018-10-05,15,0,0,2,8,10,0
2018-10-06,19,0,1,6,6,9,0
2018-10-07,12,0,0,2,11,8,0
2018-10-08,20,0,0,3,11,10,0
2018-10-09,14,0,1,8,16,7,0
2018-10-10,19,0,2,4,4,6,0
2018-10-11,23,0,0,2,7,12,0
2018-10-12,23,0,0,6,9,10,0
2018-10-13,17,0,0,5,8,5,0
2018-10-14,15,0,0,1,14,7,0
2018-10-15,18,0,0,3,11,9,1
2018-10-16,14,0,1,6,6,9,0
2018-10-17,15,0,1,2,9,3,0
2018-10-18,18,0,0,1,6,4,0
2018-10-19,16,0,0,2,5,6,0
2018-10-20,12,0,0,2,12,3,0
2018-10-21,13,0,0,2,10,6,0
2018-10-22,24,0,0,2,7,4,0
2018-10-23,17,0,0,0,6,6,3
2018-10-24,15,0,0,3,8,7,0
2018-10-25,21,0,0,3,5,3,0
2018-10-26,13,0,1,1,6,5,0
2018-10-27,20,0,0,6,3,4,0
2018-10-28,17,0,0,3,5,6,0
2018-10-29,11,0,0,5,6,6,0
2018-10-30,23,0,0,3,6,7,0
2018-10-31,16,0,0,2,6,6,0
2018-11-01,16,0,0,6,9,9,0
2018-11-02,26,0,1,2,7,6,0
2018-11-03,15,0,0,4,9,10,0
2018-11-04,11,0,1,1,9,3,0
2018-11-05,16,0,1,5,9,8,0
2018-11-06,18,0,0,2,12,10,0
2018-11-07,11,0,1,5,15,7,0
2018-11-08,18,0,0,7,7,7,0
2018-11-09,23,0,1,3,9,8,0
2018-11-10,28,0,0,6,5,10,0
2018-11-11,18,0,1,2,8,5,0
2018-11-12,14,0,0,6,12,5,0
2018-11-13,21,0,1,1,5,5,0
2018-11-14,14,0,0,4,8,13,0
2018-11-15,19,0,1,8,12,6,0
2018-11-16,17,0,0,3,6,5,0
2018-11-17,13,0,0,3,7,5,0
2018-11-18,11,0,0,3,11,12,0
2018-11-19,18,0,0,2,5,4,0
2018-11-20,10,0,0,3,8,5,0
2018-11-21,18,0,1,6,9,4,0
2018-11-22,19,0,0,0,7,3,0
2018-11-23,21,0,1,6,11,5,0
2018-11-24,18,0,0,2,6,9,0
2018-11-25,11,0,1,5,7,4,0
2018-11-26,15,0,0,4,6,4,1
2018-11-27,18,0,1,3,7,5,0
2018-11-28,26,0,0,3,5,8,0
2018-11-29,14,0,0,3,6,5,0
2018-11-30,18,0,1,7,14,7,0
2018-12-01,12,0,0,3,9,6,0
2018-12-02,14,0,0,6,8,8,0
2018-12-03,25,0,0,1,8,5,0
2018-12-04,22,0,1,2,8,10,0
2018-12-05,21,0,0,9,5,11,1
2018-12-06,13,0,0,4,11,7,0
2018-12-07,19,0,0,6,3,7,0
2018-12-08,16,0,0,5,9,5,0
2018-12-09,14,0,0,3,12,5,0
2018-12-10,18,0,0,1,10,6,0
2018-12-11,20,0,0,2,5,5,0
2018-12-12,22,0,0,2,9,4,0
2018-12-13,30,0,0,5,8,9,0
2018-12-14,25,0,0,1,6,5,0
2018-12-15,21,0,0,1,13,4,0
2018-12-16,19,0,0,2,8,7,0
2018-12-17,30,0,0,0,8,7,0
2018-12-18,22,0,0,6,8,5,0
2018-12-19,29,0,0,2,8,8,0
2018-12-20,19,0,1,4,5,7,0
2018-12-21,22,0,0,5,9,8,0
2018-12-22,21,0,1,3,15,2,0
2018-12-23,24,0,0,2,5,3,0
2018-12-24,19,0,1,2,9,4,0
2018-12-25,19,0,0,1,14,7,0
2018-12-26,19,0,0,3,5,6,0
2018-12-27,16,0,0,6,7,3,0
2018-12-28,11,0,0,0,4,2,0
2018-12-29,18,0,0,2,7,4,0
2018-12-30,21,0,1,2,5,3,0
2018-12-31,14,0,0,4,10,8,0
2019-01-01,20,0,0,1,10,9,0
2019-01-02,18,0,0,1,6,4,0
2019-01-03,21,0,0,0,9,7,0
2019-01-04,26,0,1,7,9,10,0
2019-01-05,13,0,0,5,6,8,0
2019-01-06,19,0,1,4,3,5,0
2019-01-07,24,0,1,4,13,6,1
2019-01-08,14,0,0,1,6,8,0
2019-01-09,15,0,1,6,8,7,0
2019-01-10,29,0,0,5,4,5,0
2019-01-11,12,0,1,0,12,6,0
2019-01-12,15,0,0,3,7,6,0
2019-01-13,16,0,2,2,10,4,0
2019-01-14,21,0,0,4,11,2,0
2019-01-15,16,0,2,3,8,5,0
2019-01-16,26,0,0,0,11,7,0
2019-01-17,27,0,0,1,12,6,0
2019-01-18,21,0,0,1,4,5,0
2019-01-19,22,0,0,0,6,4,0
2019-01-20,18,0,0,3,6,3,0
2019-01-21,19,0,1,1,8,4,1
2019-01-22,20,0,0,2,6,10,0
2019-01-23,25,0,0,1,12,5,0
2019-01-24,19,0,0,1,13,3,0
2019-01-25,15,0,0,1,13,5,0
2019-01-26,19,0,1,1,10,7,0
2019-01-27,11,0,0,2,6,6,0
2019-01-28,13,0,1,2,6,9,0
2019-01-29,19,0,0,1,6,2,0
2019-01-30,21,0,0,1,13,3,0
2019-01-31,18,0,0,7,10,2,0
2019-02-01,19,0,0,2,10,3,0
2019-02-02,14,0,0,3,13,8,0
2019-02-03,18,0,0,1,3,9,0
2019-02-04,20,0,1,2,9,10,0
2019-02-05,12,0,0,1,7,6,0
2019-02-06,18,0,0,0,6,9,0
2019-02-07,22,0,1,4,4,9,0
2019-02-08,11,0,0,1,11,6,0
2019-02-09,27,0,0,4,11,5,0
2019-02-10,21,0,0,3,9,5,0
2019-02-11,15,0,2,3,6,5,0
2019-02-12,17,0,0,0,10,7,1
2019-02-13,14,0,0,4,9,5,0
2019-02-14,18,0,0,2,4,8,0
2019-02-15,18,0,0,1,7,7,0
2019-02-16,16,0,1,3,11,7,0
2019-02-17,15,0,0,3,6,6,0
2019-02-18,20,0,1,0,6,5,0
2019-02-19,17,0,0,5,2,10,1
2019-02-20,22,0,0,2,9,3,0
2019-02-21,21,0,0,4,9,11,0
2019-02-22,14,0,2,2,9,8,0
2019-02-23,8,0,0,9,3,4,1
2019-02-24,26,0,1,2,9,4,0
2019-02-25,17,0,0,4,5,7,0
2019-02-26,18,0,0,2,4,6,0
2019-02-27,14,0,0,3,8,8,0
2019-02-28,20,0,0,1,3,4,0
2019-03-01,24,0,0,3,7,5,0
2019-03-02,28,0,0,1,11,7,0
2019-03-03,18,0,1,6,8,9,0
2019-03-04,17,0,0,4,5,5,0
2019-03-05,25,0,0,4,8,10,0
2019-03-06,14,0,1,1,8,5,1
2019-03-07,17,0,0,1,10,1,0
2019-03-08,25,0,0,5,5,5,0
2019-03-09,25,0,0,1,1,4,0
2019-03-10,25,0,0,2,8,4,0
2019-03-11,21,0,0,3,6,5,0
2019-03-12,18,0,1,2,14,8,0
2019-03-13,17,0,0,2,10,5,0
2019-03-14,17,0,0,3,4,4,0
2019-03-15,19,0,0,3,11,5,0
2019-03-16,22,0,1,3,5,4,0
