DATA_OBITO,OUTRAS,COVID - PE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-08,93,0,0,16,21,41,0
2019-04-09,104,0,1,16,24,44,0
2019-04-10,88,0,1,8,28,31,0
2019-04-11,81,0,1,15,13,31,0
2019-04-12,93,0,0,13,20,38,0
2019-04-13,81,0,1,18,29,34,0
2019-04-14,87,0,0,9,19,29,0
2019-04-15,88,0,1,21,21,31,0
2019-04-16,84,0,1,13,21,30,0
2019-04-17,76,0,0,5,23,40,0
2019-04-18,101,0,1,12,25,39,0
2019-04-19,87,0,1,18,26,40,0
2019-04-20,92,0,0,16,36,40,0
2019-04-21,99,0,0,11,22,41,0
2019-04-22,87,0,1,10,24,40,0
2019-04-23,95,0,0,12,27,32,1
2019-04-24,70,0,0,11,24,35,1
2019-04-25,80,0,1,17,30,37,0
2019-04-26,77,0,0,11,21,27,0
2019-04-27,75,0,2,15,23,44,0
2019-04-28,85,0,1,12,30,28,0
2019-04-29,102,0,0,15,22,25,1
2019-04-30,102,0,0,11,21,48,0
2019-05-01,105,0,2,12,23,43,0
2019-05-02,97,0,3,20,22,31,0
2019-05-03,82,0,0,10,31,34,0
2019-05-04,87,0,1,8,25,42,0
2019-05-05,93,0,3,10,31,40,0
2019-05-06,92,0,2,11,24,36,0
2019-05-07,69,0,1,15,18,28,0
2019-05-08,83,0,2,13,15,32,0
2019-05-09,92,0,1,14,30,61,0
2019-05-10,88,0,3,13,18,39,0
2019-05-11,86,0,0,7,25,34,0
2019-05-12,74,0,0,10,44,34,0
2019-05-13,74,0,1,6,23,45,0
2019-05-14,85,0,0,14,24,33,0
2019-05-15,97,0,2,17,21,37,0
2019-05-16,92,0,2,16,29,34,0
2019-05-17,98,0,1,9,21,45,0
2019-05-18,74,0,3,9,31,41,0
2019-05-19,79,0,1,10,22,33,0
2019-05-20,92,0,3,18,27,46,2
2019-05-21,92,0,1,13,24,41,0
2019-05-22,82,0,2,13,25,40,1
2019-05-23,111,0,4,15,30,53,0
2019-05-24,84,0,0,8,24,35,0
2019-05-25,96,0,1,13,24,36,1
2019-05-26,83,0,0,16,28,29,0
2019-05-27,78,0,1,7,24,30,0
2019-05-28,90,0,0,15,22,22,0
2019-05-29,88,0,1,12,17,39,1
2019-05-30,87,0,4,13,22,48,0
2019-05-31,87,0,1,13,29,39,0
2019-06-01,87,0,2,10,24,36,1
2019-06-02,90,0,0,7,21,37,0
2019-06-03,103,0,1,10,30,39,0
2019-06-04,88,0,2,10,12,44,0
2019-06-05,105,0,1,8,19,40,0
2019-06-06,90,0,0,15,11,45,0
2019-06-07,102,0,0,15,27,35,0
2019-06-08,92,0,1,10,34,43,1
2019-06-09,87,0,0,12,20,45,1
2019-06-10,99,0,0,17,25,39,0
2019-06-11,83,0,1,9,29,31,0
2019-06-12,87,0,2,13,19,32,0
2019-06-13,95,0,0,20,34,38,1
2019-06-14,74,0,0,13,21,40,1
2019-06-15,94,0,2,13,30,43,2
2019-06-16,77,0,2,11,32,41,1
2019-06-17,80,0,1,17,15,47,0
2019-06-18,101,0,1,17,22,38,1
2019-06-19,97,0,1,9,22,37,1
2019-06-20,84,0,0,15,15,37,0
2019-06-21,100,0,0,13,30,40,0
2019-06-22,89,0,0,10,25,41,0
2019-06-23,83,0,1,15,20,41,0
2019-06-24,74,0,1,14,34,30,0
2019-06-25,89,0,0,15,20,32,0
