DATA_OBITO,OUTRAS,COVID - GO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-10,43,0,0,7,19,6,0
2019-04-11,50,0,0,6,16,7,1
2019-04-12,37,0,0,5,20,11,0
2019-04-13,53,0,0,6,12,7,0
2019-04-14,48,0,1,9,13,9,0
2019-04-15,53,0,1,8,23,10,1
2019-04-16,43,0,0,6,19,17,0
2019-04-17,54,0,2,9,16,10,0
2019-04-18,45,0,0,7,21,13,0
2019-04-19,33,0,0,7,16,10,0
2019-04-20,56,0,1,7,14,14,0
2019-04-21,32,0,0,13,14,6,0
2019-04-22,49,0,0,8,22,10,1
2019-04-23,51,0,1,12,16,15,0
2019-04-24,47,0,0,7,11,9,0
2019-04-25,46,0,0,11,24,20,0
2019-04-26,42,0,1,5,19,5,0
2019-04-27,50,0,1,9,16,8,0
2019-04-28,45,0,0,7,18,9,0
2019-04-29,44,0,1,8,27,8,0
2019-04-30,48,0,0,5,11,15,0
2019-05-01,44,0,1,7,25,9,0
2019-05-02,45,0,0,7,18,11,0
2019-05-03,47,0,1,9,21,11,0
2019-05-04,33,0,1,4,24,9,0
2019-05-05,42,0,0,12,16,3,0
2019-05-06,40,0,0,3,14,7,0
2019-05-07,38,0,0,12,16,5,0
2019-05-08,40,0,0,5,21,14,0
2019-05-09,46,0,0,6,14,15,1
2019-05-10,50,0,0,9,20,8,0
2019-05-11,36,0,0,5,18,18,0
2019-05-12,39,0,1,8,15,14,0
2019-05-13,50,0,0,8,17,5,0
2019-05-14,46,0,0,14,12,14,0
2019-05-15,48,0,1,5,19,11,0
2019-05-16,44,0,0,6,18,11,0
2019-05-17,43,0,0,8,15,9,0
2019-05-18,37,0,2,10,9,9,0
2019-05-19,44,0,3,11,21,10,0
2019-05-20,31,0,1,12,16,11,0
2019-05-21,39,0,0,9,16,9,0
2019-05-22,43,0,1,3,18,15,0
2019-05-23,50,0,1,6,18,3,0
2019-05-24,43,0,0,9,22,15,0
2019-05-25,60,0,1,11,23,14,0
2019-05-26,55,0,1,15,22,11,0
2019-05-27,40,0,0,10,26,7,1
2019-05-28,41,0,0,7,27,10,0
2019-05-29,49,0,0,7,16,10,0
2019-05-30,43,0,0,7,16,6,0
2019-05-31,58,0,1,12,20,10,1
2019-06-01,45,0,2,11,15,12,0
2019-06-02,50,0,0,13,17,12,0
2019-06-03,48,0,2,12,27,10,0
2019-06-04,45,0,0,5,18,19,0
2019-06-05,47,0,1,12,22,11,1
2019-06-06,46,0,1,8,24,15,0
2019-06-07,52,0,0,11,14,10,0
2019-06-08,54,0,1,6,13,8,0
2019-06-09,54,0,1,7,27,11,0
2019-06-10,39,0,0,12,22,11,0
2019-06-11,42,0,0,10,25,8,0
2019-06-12,42,0,1,9,21,10,0
2019-06-13,42,0,0,11,19,9,0
2019-06-14,46,0,0,7,23,2,1
2019-06-15,43,0,1,6,18,14,0
2019-06-16,44,0,0,6,18,10,0
2019-06-17,48,0,0,11,23,10,0
2019-06-18,52,0,0,8,26,12,0
2019-06-19,55,0,0,8,21,10,0
2019-06-20,57,0,0,3,19,7,0
2019-06-21,36,0,0,14,27,8,0
2019-06-22,47,0,0,9,23,14,1
2019-06-23,44,0,1,6,18,6,0
2019-06-24,44,0,0,11,26,7,0
2019-06-25,56,0,1,11,18,5,0
2019-06-26,47,0,0,8,18,7,0
2019-06-27,53,0,0,6,16,13,2
2019-06-28,33,0,0,9,21,10,0
2019-06-29,49,0,1,13,15,7,0
2019-06-30,35,0,1,5,21,11,1
2019-07-01,38,0,0,12,27,14,0
2019-07-02,44,0,1,14,20,13,0
2019-07-03,40,0,2,10,20,17,0
2019-07-04,50,0,0,9,17,11,0
2019-07-05,50,0,0,9,27,10,0
2019-07-06,38,0,1,8,19,14,1
2019-07-07,44,0,1,11,26,17,0
2019-07-08,41,0,1,12,23,9,0
2019-07-09,54,0,1,15,22,9,1
2019-07-10,53,0,0,9,17,11,0
2019-07-11,61,0,1,12,18,18,1
2019-07-12,42,0,0,9,22,9,0
2019-07-13,48,0,0,9,23,12,0
2019-07-14,40,0,0,12,20,10,0
2019-07-15,47,0,0,8,27,12,0
2019-07-16,48,0,1,11,17,12,0
2019-07-17,43,0,0,8,15,6,0
2019-07-18,41,0,0,11,16,10,0
2019-07-19,43,0,0,7,25,11,0
2019-07-20,40,0,0,9,25,10,1
2019-07-21,42,0,1,13,20,14,0
2019-07-22,42,0,0,10,24,8,0
2019-07-23,40,0,1,4,22,12,0
2019-07-24,38,0,1,8,26,6,0
2019-07-25,47,0,0,9,25,16,0
2019-07-26,44,0,0,8,23,8,0
2019-07-27,43,0,0,9,21,11,0
2019-07-28,41,0,1,5,28,16,0
2019-07-29,53,0,0,8,28,13,0
2019-07-30,48,0,0,7,19,7,1
2019-07-31,46,0,0,10,14,11,0
2019-08-01,42,0,1,6,23,8,0
2019-08-02,48,0,1,9,28,12,0
2019-08-03,42,0,0,4,21,10,0
2019-08-04,27,0,0,12,22,6,0
2019-08-05,34,0,1,7,20,13,0
2019-08-06,37,0,0,7,23,10,0
2019-08-07,41,0,0,8,18,14,0
2019-08-08,38,0,0,10,18,6,0
2019-08-09,27,0,1,8,15,5,0
2019-08-10,36,0,1,5,15,5,0
2019-08-11,38,0,1,8,10,8,0
2019-08-12,34,0,1,6,12,6,0
2019-08-13,42,0,0,14,20,11,0
2019-08-14,38,0,0,11,16,7,0
2019-08-15,32,0,0,15,21,5,1
2019-08-16,34,0,0,3,21,12,0
2019-08-17,41,0,1,10,18,13,0
2019-08-18,41,0,0,17,27,15,0
2019-08-19,35,0,1,14,25,8,0
2019-08-20,40,0,0,10,23,15,0
2019-08-21,46,0,0,8,23,8,0
2019-08-22,34,0,0,8,15,13,0
2019-08-23,32,0,0,16,21,7,0
2019-08-24,41,0,0,7,21,13,0
2019-08-25,37,0,0,9,29,8,0
2019-08-26,36,0,0,7,12,14,0
2019-08-27,42,0,0,10,17,11,0
2019-08-28,41,0,0,6,17,4,0
2019-08-29,43,0,0,6,13,11,0
2019-08-30,41,0,1,8,21,6,0
2019-08-31,55,0,1,8,16,10,0
2019-09-01,29,0,1,8,20,6,0
2019-09-02,48,0,1,10,19,11,0
2019-09-03,36,0,0,9,13,12,1
2019-09-04,49,0,0,9,31,14,0
2019-09-05,44,0,0,11,19,12,0
2019-09-06,28,0,0,7,17,9,0
2019-09-07,51,0,0,6,11,15,0
2019-09-08,42,0,1,11,22,12,0
2019-09-09,48,0,0,11,17,17,0
2019-09-10,36,0,0,10,15,3,1
2019-09-11,46,0,0,11,26,16,0
2019-09-12,52,0,0,14,15,11,0
2019-09-13,46,0,1,11,25,13,0
2019-09-14,43,0,0,9,14,17,0
2019-09-15,41,0,0,12,20,15,0
2019-09-16,44,0,0,10,20,11,0
2019-09-17,48,0,0,8,19,10,0
2019-09-18,42,0,0,11,25,9,0
2019-09-19,46,0,0,18,21,14,0
2019-09-20,45,0,0,12,14,13,0
2019-09-21,38,0,0,14,23,18,0
2019-09-22,52,0,0,13,20,18,0
2019-09-23,48,0,1,11,14,9,0
2019-09-24,51,0,0,10,28,14,0
2019-09-25,32,0,0,10,29,8,0
2019-09-26,46,0,1,10,28,7,0
2019-09-27,33,0,0,9,17,13,0
2019-09-28,46,0,0,10,26,5,0
2019-09-29,49,0,0,11,14,10,0
2019-09-30,38,0,0,10,15,7,0
2019-10-01,39,0,0,16,22,31,0
