DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-11-11,436,0,8,63,186,108,0
2018-11-12,433,0,3,75,174,122,0
2018-11-13,427,0,4,71,195,122,0
2018-11-14,490,0,0,76,228,118,0
2018-11-15,485,0,6,88,199,108,0
2018-11-16,428,0,3,64,185,124,2
2018-11-17,409,0,1,79,192,114,2
2018-11-18,409,0,3,76,176,116,0
2018-11-19,409,0,5,57,192,117,0
2018-11-20,382,0,4,67,188,107,1
2018-11-21,415,0,2,51,172,123,1
2018-11-22,378,0,5,67,147,124,0
2018-11-23,401,0,3,58,181,111,0
2018-11-24,434,0,2,64,203,113,0
2018-11-25,419,0,3,53,185,104,0
2018-11-26,397,0,1,80,180,104,0
2018-11-27,393,0,1,68,164,99,0
2018-11-28,407,0,7,64,205,117,0
2018-11-29,423,0,5,66,159,107,1
2018-11-30,472,0,3,71,211,112,0
2018-12-01,393,0,1,63,173,112,0
2018-12-02,415,0,7,73,193,139,0
2018-12-03,419,0,4,50,179,117,1
2018-12-04,401,0,3,75,176,101,0
2018-12-05,418,0,6,55,176,128,1
2018-12-06,394,0,5,67,175,120,0
2018-12-07,396,0,1,77,175,115,0
2018-12-08,399,0,2,59,165,107,0
2018-12-09,447,0,2,69,155,92,0
2018-12-10,492,0,1,73,159,107,2
2018-12-11,419,0,3,88,211,103,1
2018-12-12,437,0,1,83,208,133,0
2018-12-13,476,0,5,78,193,122,0
2018-12-14,450,0,3,75,248,130,0
2018-12-15,457,0,3,67,238,133,3
2018-12-16,441,0,2,76,213,131,0
2018-12-17,493,0,6,66,221,133,1
2018-12-18,494,0,4,80,230,160,0
2018-12-19,430,0,6,82,214,127,2
2018-12-20,418,0,4,77,217,159,1
2018-12-21,465,0,9,68,247,126,3
2018-12-22,460,0,3,83,224,150,0
2018-12-23,440,0,3,73,210,130,0
2018-12-24,415,0,4,63,172,119,0
2018-12-25,432,0,8,74,192,126,1
2018-12-26,455,0,2,76,190,101,2
2018-12-27,374,0,3,62,164,121,0
2018-12-28,443,0,3,56,173,134,1
2018-12-29,395,0,3,56,164,105,0
2018-12-30,363,0,5,68,164,126,1
2018-12-31,437,0,4,60,197,107,1
2019-01-01,424,0,3,63,199,112,1
2019-01-02,414,0,4,73,187,111,1
2019-01-03,457,0,1,69,190,122,2
2019-01-04,413,0,4,49,202,106,2
2019-01-05,440,0,3,59,170,104,1
2019-01-06,380,0,0,54,196,102,1
2019-01-07,388,0,8,58,194,105,1
2019-01-08,423,0,4,68,195,115,0
2019-01-09,396,0,2,74,201,130,0
2019-01-10,448,0,4,71,211,119,0
2019-01-11,420,0,4,68,178,133,0
2019-01-12,426,0,0,63,190,113,0
2019-01-13,395,0,4,74,186,124,1
2019-01-14,407,0,4,64,176,119,0
2019-01-15,434,0,4,70,195,113,0
2019-01-16,431,0,4,75,189,118,0
2019-01-17,407,0,4,67,185,128,1
2019-01-18,367,0,5,84,204,140,1
2019-01-19,408,0,5,54,208,132,0
2019-01-20,446,0,4,67,163,123,0
2019-01-21,409,0,4,77,192,144,0
2019-01-22,418,0,3,63,194,127,2
2019-01-23,483,0,5,68,201,128,0
2019-01-24,427,0,4,70,170,119,0
2019-01-25,428,0,4,71,170,120,2
2019-01-26,380,0,3,54,159,89,0
2019-01-27,363,0,1,62,176,138,0
2019-01-28,428,0,4,50,164,115,0
2019-01-29,420,0,6,71,162,123,1
2019-01-30,455,0,4,70,206,131,0
2019-01-31,413,0,6,73,201,131,1
2019-02-01,416,0,3,67,203,152,0
2019-02-02,470,0,3,92,214,154,0
2019-02-03,460,0,8,59,215,139,1
2019-02-04,429,0,6,63,155,128,1
2019-02-05,388,0,3,73,165,129,2
2019-02-06,402,0,6,66,167,97,0
2019-02-07,395,0,1,53,178,112,0
2019-02-08,409,0,1,58,192,111,0
2019-02-09,417,0,5,57,196,142,0
2019-02-10,429,0,2,64,173,118,0
2019-02-11,459,0,3,71,176,128,1
2019-02-12,387,0,2,54,204,133,0
2019-02-13,389,0,5,66,163,112,1
2019-02-14,405,0,5,56,137,118,0
2019-02-15,395,0,1,70,165,104,0
2019-02-16,417,0,4,66,172,116,0
2019-02-17,407,0,3,66,161,113,1
2019-02-18,420,0,5,63,166,117,0
2019-02-19,399,0,8,76,151,121,0
2019-02-20,420,0,3,73,158,100,0
2019-02-21,436,0,1,65,158,106,0
2019-02-22,416,0,4,56,169,112,0
2019-02-23,450,0,4,52,159,93,0
2019-02-24,462,0,2,58,175,110,1
2019-02-25,394,0,6,65,199,109,0
2019-02-26,403,0,0,75,186,126,0
2019-02-27,356,0,7,60,162,103,0
2019-02-28,366,0,4,64,159,106,1
2019-03-01,359,0,3,61,176,130,0
2019-03-02,400,0,5,53,172,121,2
2019-03-03,396,0,1,63,162,126,0
2019-03-04,411,0,3,71,170,125,1
2019-03-05,389,0,7,79,162,120,0
2019-03-06,427,0,2,73,179,98,0
2019-03-07,352,0,6,79,211,101,0
2019-03-08,420,0,6,69,178,118,0
2019-03-09,391,0,8,75,181,116,0
2019-03-10,408,0,9,70,167,112,0
2019-03-11,455,0,2,64,166,119,0
2019-03-12,368,0,4,89,206,108,0
2019-03-13,431,0,3,83,187,123,1
