DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-12-17,214,0,0,30,58,74,0
2018-12-18,209,0,3,19,72,61,0
2018-12-19,202,0,3,20,64,70,0
2018-12-20,212,0,0,39,70,72,0
2018-12-21,255,0,0,28,65,67,0
2018-12-22,227,0,0,19,52,75,2
2018-12-23,251,0,0,22,69,65,0
2018-12-24,209,0,0,22,60,69,0
2018-12-25,227,0,0,29,93,59,1
2018-12-26,193,0,0,22,63,65,0
2018-12-27,204,0,0,37,60,56,0
2018-12-28,219,0,1,23,69,64,0
2018-12-29,235,0,0,35,58,58,0
2018-12-30,208,0,2,18,45,82,0
2018-12-31,195,0,0,25,65,66,0
2019-01-01,216,0,0,23,77,63,2
2019-01-02,212,0,0,17,56,60,0
2019-01-03,219,0,0,21,65,78,3
2019-01-04,249,0,1,24,62,88,0
2019-01-05,194,0,1,28,59,83,1
2019-01-06,180,0,1,27,55,59,0
2019-01-07,216,0,0,26,57,87,0
2019-01-08,216,0,0,32,67,66,0
2019-01-09,204,0,1,27,74,64,0
2019-01-10,199,0,0,22,74,70,1
2019-01-11,195,0,0,28,70,73,0
2019-01-12,186,0,0,26,76,60,0
2019-01-13,213,0,0,35,56,59,0
2019-01-14,205,0,0,23,60,67,0
2019-01-15,209,0,0,34,76,67,0
2019-01-16,219,0,0,27,63,77,0
2019-01-17,241,0,0,30,68,64,1
2019-01-18,231,0,0,29,61,77,0
2019-01-19,220,0,1,28,71,71,0
2019-01-20,227,0,0,19,62,86,0
2019-01-21,237,0,0,26,67,57,2
2019-01-22,240,0,0,30,66,81,2
2019-01-23,212,0,0,18,68,65,0
2019-01-24,232,0,0,28,57,63,0
2019-01-25,208,0,0,26,62,53,0
2019-01-26,206,0,0,27,58,64,0
2019-01-27,175,0,0,27,64,81,0
2019-01-28,223,0,0,19,69,76,0
2019-01-29,240,0,0,20,70,63,0
2019-01-30,241,0,0,40,65,67,0
2019-01-31,242,0,0,31,53,72,1
2019-02-01,227,0,1,22,62,68,2
2019-02-02,248,0,0,23,67,85,0
2019-02-03,247,0,0,27,61,76,0
2019-02-04,212,0,1,18,68,74,0
2019-02-05,194,0,0,34,60,82,0
2019-02-06,200,0,0,24,69,58,0
2019-02-07,186,0,3,25,64,56,0
2019-02-08,212,0,0,21,51,74,1
2019-02-09,209,0,0,23,55,74,0
2019-02-10,217,0,0,22,73,77,0
2019-02-11,223,0,1,29,70,67,0
2019-02-12,188,0,0,31,77,58,0
2019-02-13,190,0,0,22,55,65,0
2019-02-14,194,0,0,22,59,65,0
2019-02-15,178,0,1,23,70,52,0
2019-02-16,190,0,0,35,61,63,1
2019-02-17,203,0,0,28,72,64,0
2019-02-18,226,0,0,19,53,61,0
2019-02-19,189,0,0,26,56,66,0
2019-02-20,200,0,0,23,58,58,0
2019-02-21,182,0,0,23,51,71,0
2019-02-22,178,0,0,20,61,70,0
2019-02-23,196,0,0,24,53,67,0
2019-02-24,230,0,1,15,52,62,1
2019-02-25,199,0,0,25,59,70,0
2019-02-26,240,0,0,23,46,59,0
2019-02-27,201,0,0,32,59,79,0
2019-02-28,223,0,1,24,65,70,0
2019-03-01,223,0,1,24,57,79,0
2019-03-02,212,0,2,21,59,73,0
2019-03-03,211,0,0,27,67,61,0
2019-03-04,203,0,0,27,48,81,0
2019-03-05,184,0,0,32,71,73,0
2019-03-06,216,0,0,29,55,68,0
