DATA_OBITO,OUTRAS,COVID - PI,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-06-12,24,0,1,4,4,7,0
2019-06-13,22,0,1,4,8,2,0
2019-06-14,15,0,0,4,8,3,0
2019-06-15,21,0,0,0,5,2,0
2019-06-16,13,0,0,2,11,0,0
2019-06-17,15,0,0,5,11,4,0
2019-06-18,35,0,0,4,11,2,0
2019-06-19,19,0,0,4,9,7,0
2019-06-20,25,0,0,5,8,3,0
2019-06-21,18,0,0,5,7,1,0
2019-06-22,19,0,0,8,5,4,0
2019-06-23,18,0,0,3,9,4,0
2019-06-24,17,0,0,8,10,10,0
2019-06-25,18,0,0,3,6,9,1
2019-06-26,17,0,1,6,10,6,0
2019-06-27,13,0,0,8,8,6,0
2019-06-28,14,0,0,6,4,6,0
2019-06-29,24,0,0,2,8,5,0
2019-06-30,20,0,0,7,2,8,0
2019-07-01,24,0,0,9,9,5,0
2019-07-02,27,0,0,6,7,4,0
2019-07-03,18,0,1,8,10,4,0
2019-07-04,20,0,0,3,10,4,0
2019-07-05,22,0,0,7,10,5,0
2019-07-06,20,0,0,1,5,5,0
2019-07-07,20,0,1,6,10,4,0
2019-07-08,22,0,0,11,7,7,0
2019-07-09,16,0,0,5,8,2,0
2019-07-10,15,0,0,7,4,6,0
2019-07-11,16,0,0,3,4,7,0
2019-07-12,14,0,0,2,3,3,0
2019-07-13,28,0,1,4,8,5,0
2019-07-14,27,0,0,11,3,5,0
2019-07-15,17,0,0,5,8,3,0
2019-07-16,18,0,0,2,9,5,0
2019-07-17,20,0,1,4,4,5,0
2019-07-18,16,0,0,3,5,3,0
2019-07-19,11,0,1,3,7,4,0
2019-07-20,16,0,0,3,5,3,0
2019-07-21,17,0,0,4,7,6,0
2019-07-22,25,0,0,7,9,2,0
2019-07-23,20,0,0,2,8,6,0
2019-07-24,9,0,0,3,7,4,0
2019-07-25,22,0,1,4,8,3,0
2019-07-26,22,0,0,4,5,6,0
2019-07-27,16,0,0,2,10,3,0
2019-07-28,24,0,0,4,7,3,0
2019-07-29,24,0,0,9,13,3,0
