DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-02-11,36,0,0,6,7,6,0
2019-02-12,40,0,0,6,13,13,0
2019-02-13,36,0,0,6,7,8,0
2019-02-14,43,0,0,5,9,12,0
2019-02-15,41,0,0,6,15,9,0
2019-02-16,46,0,0,4,9,12,0
2019-02-17,32,0,0,6,11,15,0
2019-02-18,33,0,1,7,12,11,0
2019-02-19,51,0,0,9,5,16,0
2019-02-20,38,0,0,6,9,10,0
2019-02-21,34,0,0,4,9,6,0
2019-02-22,35,0,0,8,11,14,0
2019-02-23,34,0,0,4,10,7,1
2019-02-24,41,0,0,6,17,15,1
2019-02-25,32,0,3,6,7,13,0
2019-02-26,36,0,0,8,10,6,0
2019-02-27,44,0,1,6,7,14,0
2019-02-28,32,0,0,12,8,20,0
2019-03-01,35,0,0,4,13,7,0
2019-03-02,29,0,0,5,14,8,1
2019-03-03,35,0,1,5,15,11,0
2019-03-04,57,0,1,8,17,11,0
2019-03-05,33,0,0,10,17,6,0
2019-03-06,37,0,0,9,12,8,0
2019-03-07,45,0,1,8,14,14,0
2019-03-08,40,0,0,7,12,9,0
2019-03-09,43,0,0,8,17,13,0
2019-03-10,39,0,1,4,10,5,0
2019-03-11,47,0,2,9,14,11,0
2019-03-12,32,0,3,5,9,11,0
2019-03-13,38,0,0,8,15,5,0
2019-03-14,38,0,0,10,13,6,0
2019-03-15,37,0,1,4,14,11,0
2019-03-16,26,0,0,5,21,7,0
2019-03-17,38,0,1,6,7,14,0
2019-03-18,42,0,0,3,14,15,0
2019-03-19,47,0,0,3,17,8,0
2019-03-20,33,0,0,9,9,6,0
2019-03-21,45,0,0,9,11,9,0
2019-03-22,43,0,1,9,10,11,0
2019-03-23,44,0,0,7,12,11,0
2019-03-24,38,0,0,4,13,11,0
2019-03-25,38,0,4,6,15,16,0
2019-03-26,41,0,1,10,7,6,0
2019-03-27,46,0,0,6,13,11,0
2019-03-28,32,0,2,6,12,13,0
2019-03-29,30,0,0,9,10,4,0
2019-03-30,43,0,0,7,16,5,0
2019-03-31,47,0,0,3,11,11,0
2019-04-01,30,0,0,7,17,8,0
2019-04-02,43,0,0,7,9,10,0
2019-04-03,56,0,0,7,17,12,0
2019-04-04,33,0,1,5,6,15,0
2019-04-05,39,0,1,6,10,10,0
2019-04-06,50,0,2,11,18,6,0
2019-04-07,36,0,1,6,15,14,0
2019-04-08,47,0,1,12,21,18,0
2019-04-09,38,0,0,5,10,16,0
2019-04-10,36,0,0,7,10,12,0
2019-04-11,40,0,0,7,20,7,0
2019-04-12,47,0,1,8,13,6,0
2019-04-13,29,0,0,10,15,11,0
