DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-10-24,18,0,0,5,2,8,0
2018-10-25,20,0,1,1,5,1,0
2018-10-26,19,0,0,0,7,1,0
2018-10-27,18,0,1,2,7,4,0
2018-10-28,14,0,0,6,1,3,1
2018-10-29,20,0,0,4,5,5,0
2018-10-30,13,0,0,2,9,9,0
2018-10-31,16,0,0,2,1,2,0
2018-11-01,17,0,0,2,1,5,0
2018-11-02,17,0,0,3,2,4,0
2018-11-03,25,0,0,2,3,7,0
2018-11-04,19,0,1,3,1,0,0
2018-11-05,12,0,1,3,9,8,0
2018-11-06,14,0,0,5,4,5,0
2018-11-07,17,0,0,2,3,8,0
2018-11-08,13,0,0,2,2,3,0
2018-11-09,24,0,0,6,4,3,0
2018-11-10,13,0,0,3,2,4,0
2018-11-11,19,0,1,1,2,1,0
2018-11-12,8,0,1,5,7,6,0
2018-11-13,17,0,0,4,1,6,0
2018-11-14,25,0,1,1,2,10,0
2018-11-15,14,0,0,3,7,3,0
2018-11-16,14,0,0,2,6,7,0
2018-11-17,12,0,0,1,4,2,0
2018-11-18,25,0,0,1,1,5,0
2018-11-19,13,0,0,0,9,8,0
2018-11-20,15,0,0,0,4,2,0
2018-11-21,15,0,0,4,7,4,0
2018-11-22,15,0,1,2,3,5,0
2018-11-23,8,0,1,1,5,4,0
2018-11-24,15,0,0,2,6,5,0
2018-11-25,9,0,1,3,2,10,0
2018-11-26,15,0,1,1,5,7,0
2018-11-27,15,0,1,1,2,3,0
2018-11-28,10,0,0,2,1,7,0
2018-11-29,18,0,0,2,6,2,0
2018-11-30,19,0,0,1,6,2,0
2018-12-01,19,0,0,6,4,9,0
2018-12-02,28,0,1,1,2,6,0
2018-12-03,19,0,0,3,5,7,0
2018-12-04,12,0,0,3,3,8,0
2018-12-05,10,0,0,2,5,5,0
2018-12-06,10,0,0,5,2,7,0
2018-12-07,13,0,0,0,7,7,0
2018-12-08,12,0,0,5,4,4,0
2018-12-09,20,0,0,4,3,3,0
2018-12-10,23,0,0,4,4,4,0
2018-12-11,14,0,0,5,7,6,0
2018-12-12,16,0,0,1,3,5,0
2018-12-13,16,0,0,1,4,6,0
2018-12-14,14,0,2,3,1,3,0
2018-12-15,15,0,0,1,2,6,0
2018-12-16,11,0,0,0,4,2,0
2018-12-17,5,0,0,4,1,4,0
2018-12-18,16,0,1,2,1,4,0
2018-12-19,12,0,0,3,5,10,0
2018-12-20,18,0,0,1,4,3,0
2018-12-21,16,0,0,5,3,13,0
2018-12-22,15,0,0,1,4,3,1
2018-12-23,15,0,0,3,4,11,0
2018-12-24,21,0,0,2,5,4,0
2018-12-25,24,0,1,1,3,6,0
2018-12-26,20,0,0,3,5,8,0
2018-12-27,16,0,0,4,8,4,0
2018-12-28,22,0,1,1,1,8,0
2018-12-29,15,0,0,3,6,3,1
2018-12-30,9,0,0,1,4,6,0
2018-12-31,31,0,0,6,3,9,0
2019-01-01,23,0,2,4,7,6,0
2019-01-02,19,0,0,2,4,7,0
2019-01-03,20,0,0,2,3,5,0
2019-01-04,20,0,0,3,6,6,0
2019-01-05,9,0,0,4,7,7,0
2019-01-06,13,0,0,0,2,4,0
2019-01-07,14,0,0,3,3,8,0
2019-01-08,27,0,0,2,1,5,0
2019-01-09,16,0,1,1,4,1,0
2019-01-10,13,0,0,0,5,10,0
2019-01-11,20,0,0,0,7,1,0
2019-01-12,20,0,1,3,3,2,0
2019-01-13,16,0,0,6,3,5,1
2019-01-14,13,0,0,5,0,8,0
2019-01-15,13,0,1,3,5,5,0
2019-01-16,14,0,0,3,6,5,0
2019-01-17,16,0,1,2,2,6,0
2019-01-18,16,0,1,2,5,3,0
2019-01-19,15,0,0,1,4,7,0
2019-01-20,21,0,0,1,4,5,0
2019-01-21,18,0,0,1,4,7,0
2019-01-22,18,0,1,3,6,3,0
2019-01-23,11,0,0,5,3,8,0
2019-01-24,13,0,0,3,3,6,0
2019-01-25,12,0,0,1,5,5,0
2019-01-26,15,0,1,3,6,8,0
2019-01-27,15,0,0,3,7,2,0
2019-01-28,7,0,0,1,7,2,0
2019-01-29,23,0,0,1,4,6,0
2019-01-30,14,0,0,2,3,7,0
2019-01-31,18,0,0,2,4,2,1
2019-02-01,26,0,1,2,4,2,0
2019-02-02,16,0,0,0,9,5,0
2019-02-03,18,0,1,1,3,7,0
2019-02-04,14,0,0,6,3,3,0
2019-02-05,21,0,0,5,5,6,0
2019-02-06,11,0,0,4,10,5,1
2019-02-07,21,0,0,3,4,6,0
2019-02-08,24,0,0,2,6,5,1
2019-02-09,12,0,0,2,5,4,0
2019-02-10,22,0,0,3,1,3,0
2019-02-11,11,0,1,4,9,5,0
2019-02-12,21,0,0,5,4,7,0
2019-02-13,9,0,1,3,1,10,0
2019-02-14,14,0,0,4,1,9,0
2019-02-15,25,0,0,3,3,5,0
2019-02-16,23,0,2,1,3,12,0
2019-02-17,13,0,0,3,3,5,1
2019-02-18,10,0,0,3,3,5,0
2019-02-19,17,0,0,2,3,7,0
2019-02-20,9,0,0,2,4,4,0
2019-02-21,12,0,0,4,2,7,0
2019-02-22,19,0,0,4,1,11,0
2019-02-23,20,0,0,2,4,9,1
2019-02-24,19,0,1,2,9,1,0
2019-02-25,17,0,0,3,6,4,0
2019-02-26,22,0,0,3,8,3,0
2019-02-27,21,0,1,2,5,4,0
2019-02-28,27,0,0,4,3,10,0
2019-03-01,21,0,0,2,5,8,0
2019-03-02,15,0,0,4,4,2,0
2019-03-03,10,0,0,2,6,6,0
2019-03-04,8,0,0,2,1,3,0
2019-03-05,17,0,0,1,2,5,0
2019-03-06,11,0,0,1,6,6,0
2019-03-07,16,0,0,1,4,3,0
2019-03-08,18,0,0,2,2,7,0
2019-03-09,25,0,0,3,7,10,0
2019-03-10,15,0,1,1,6,5,0
2019-03-11,23,0,0,3,4,3,0
2019-03-12,17,0,0,1,6,10,0
2019-03-13,26,0,0,3,3,3,0
2019-03-14,14,0,1,3,2,3,0
2019-03-15,19,0,0,1,2,6,0
2019-03-16,15,0,1,3,6,5,0
2019-03-17,14,0,0,2,4,5,0
2019-03-18,26,0,0,3,6,10,0
2019-03-19,21,0,0,2,4,5,0
2019-03-20,19,0,1,1,4,3,0
2019-03-21,22,0,0,5,3,2,0
2019-03-22,25,0,0,2,4,9,0
2019-03-23,14,0,1,3,1,6,1
2019-03-24,21,0,0,0,4,6,0
2019-03-25,13,0,0,6,0,7,0
2019-03-26,24,0,0,3,7,4,0
2019-03-27,15,0,0,3,4,4,0
2019-03-28,18,0,1,2,2,5,0
2019-03-29,21,0,0,3,5,4,0
2019-03-30,19,0,1,4,6,4,0
2019-03-31,22,0,0,1,4,9,0
2019-04-01,21,0,0,4,3,1,1
2019-04-02,16,0,0,1,4,8,0
2019-04-03,17,0,0,3,7,6,0
2019-04-04,15,0,0,2,8,5,0
2019-04-05,12,0,0,1,7,5,0
2019-04-06,12,0,0,2,3,6,0
2019-04-07,19,0,0,5,8,9,0
2019-04-08,19,0,0,2,3,12,0
2019-04-09,15,0,2,0,6,8,0
2019-04-10,12,0,0,2,5,6,0
2019-04-11,14,0,0,4,1,4,0
2019-04-12,19,0,1,1,8,6,0
2019-04-13,17,0,1,3,7,5,0
2019-04-14,23,0,0,0,2,6,0
2019-04-15,16,0,0,6,5,5,0
2019-04-16,15,0,0,4,7,7,1
2019-04-17,21,0,0,2,4,1,0
2019-04-18,14,0,1,4,3,5,1
2019-04-19,17,0,0,1,4,5,0
2019-04-20,17,0,1,6,4,4,0
2019-04-21,13,0,0,4,6,2,0
2019-04-22,12,0,0,4,6,13,0
2019-04-23,18,0,1,7,3,7,0
2019-04-24,20,0,0,2,4,9,0
2019-04-25,22,0,1,1,7,6,0
2019-04-26,16,0,0,2,5,7,0
2019-04-27,19,0,0,2,5,2,0
2019-04-28,15,0,0,4,2,6,0
2019-04-29,19,0,0,4,4,6,1
2019-04-30,29,0,0,2,5,7,0
2019-05-01,14,0,1,1,0,2,0
2019-05-02,18,0,0,1,5,3,0
2019-05-03,16,0,0,4,6,10,0
2019-05-04,16,0,0,1,5,7,0
2019-05-05,22,0,0,1,3,4,0
2019-05-06,23,0,0,3,6,5,0
2019-05-07,22,0,0,2,7,2,0
2019-05-08,14,0,0,1,9,2,0
2019-05-09,20,0,0,1,0,8,0
2019-05-10,24,0,0,0,7,9,0
2019-05-11,16,0,1,3,5,8,0
2019-05-12,17,0,0,2,6,5,0
2019-05-13,9,0,0,4,5,9,0
2019-05-14,19,0,0,2,5,8,0
2019-05-15,22,0,0,2,7,7,0
2019-05-16,19,0,0,1,3,17,0
2019-05-17,23,0,0,1,2,6,0
2019-05-18,28,0,2,2,11,6,0
2019-05-19,13,0,0,0,3,6,0
2019-05-20,15,0,0,2,5,6,0
2019-05-21,18,0,0,5,9,8,0
2019-05-22,13,0,0,3,11,6,0
2019-05-23,16,0,0,6,6,4,0
2019-05-24,16,0,0,4,7,6,0
2019-05-25,15,0,1,3,8,2,0
2019-05-26,13,0,0,2,5,7,0
2019-05-27,20,0,0,2,6,3,0
2019-05-28,16,0,0,3,5,5,0
2019-05-29,13,0,0,3,7,5,0
2019-05-30,28,0,1,2,2,4,0
2019-05-31,20,0,0,3,8,5,0
2019-06-01,21,0,0,0,7,5,0
2019-06-02,10,0,0,2,4,6,0
2019-06-03,20,0,0,4,7,7,0
2019-06-04,27,0,0,5,3,7,0
2019-06-05,11,0,0,4,4,4,0
2019-06-06,23,0,0,4,2,4,0
2019-06-07,24,0,0,5,8,5,0
2019-06-08,19,0,0,0,3,6,0
2019-06-09,21,0,0,2,5,6,0
2019-06-10,18,0,0,3,5,6,0
2019-06-11,20,0,0,5,5,8,0
2019-06-12,17,0,1,3,8,4,0
2019-06-13,24,0,0,1,12,5,0
2019-06-14,25,0,0,5,5,8,0
2019-06-15,20,0,0,1,5,7,0
2019-06-16,17,0,1,0,6,3,0
2019-06-17,11,0,0,5,7,10,0
2019-06-18,13,0,0,5,4,2,0
2019-06-19,19,0,1,2,5,6,0
2019-06-20,16,0,1,4,3,6,0
2019-06-21,20,0,1,4,7,5,0
2019-06-22,19,0,0,4,3,4,0
2019-06-23,29,0,0,5,2,1,0
2019-06-24,17,0,0,2,5,4,0
2019-06-25,19,0,0,2,5,8,0
2019-06-26,20,0,0,2,9,6,0
2019-06-27,21,0,0,5,6,7,0
