DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-12-18,36,0,0,3,14,10,0
2018-12-19,33,0,0,8,7,6,0
2018-12-20,42,0,0,6,10,4,2
2018-12-21,40,0,1,5,7,6,0
2018-12-22,31,0,0,7,6,5,0
2018-12-23,25,0,0,11,11,9,0
2018-12-24,30,0,0,4,9,6,0
2018-12-25,38,0,4,8,10,8,0
2018-12-26,41,0,0,9,12,7,0
2018-12-27,27,0,2,3,7,11,0
2018-12-28,31,0,0,6,10,11,0
2018-12-29,37,0,1,12,11,5,0
2018-12-30,27,0,1,4,14,3,0
2018-12-31,30,0,1,5,12,7,0
2019-01-01,26,0,0,11,6,5,0
2019-01-02,39,0,1,4,9,9,1
2019-01-03,28,0,0,7,12,5,0
2019-01-04,34,0,1,4,9,9,0
2019-01-05,34,0,0,7,13,8,1
2019-01-06,36,0,2,4,8,5,0
2019-01-07,43,0,0,6,5,6,0
2019-01-08,37,0,0,8,13,8,0
2019-01-09,33,0,2,3,6,6,0
2019-01-10,40,0,0,5,10,12,0
2019-01-11,32,0,1,3,5,8,0
2019-01-12,32,0,1,5,16,9,0
2019-01-13,49,0,0,6,21,12,0
2019-01-14,25,0,0,11,11,8,0
2019-01-15,39,0,0,5,13,4,0
2019-01-16,38,0,1,6,6,10,0
2019-01-17,39,0,0,6,20,6,0
2019-01-18,39,0,0,3,22,7,0
2019-01-19,38,0,0,10,19,10,1
2019-01-20,54,0,0,4,11,6,0
2019-01-21,33,0,0,7,10,8,0
2019-01-22,46,0,0,7,15,13,0
2019-01-23,36,0,0,8,14,9,0
2019-01-24,40,0,0,9,6,9,0
2019-01-25,44,0,2,6,9,7,0
2019-01-26,27,0,0,9,11,11,0
2019-01-27,42,0,0,7,11,7,0
2019-01-28,37,0,0,6,10,6,0
2019-01-29,43,0,3,3,14,6,0
2019-01-30,29,0,0,5,7,11,0
2019-01-31,29,0,0,8,11,10,0
2019-02-01,30,0,0,4,13,9,0
2019-02-02,45,0,0,3,15,7,0
2019-02-03,41,0,1,8,10,10,0
2019-02-04,34,0,1,6,7,12,0
2019-02-05,43,0,0,8,10,12,0
2019-02-06,34,0,0,5,17,7,0
2019-02-07,32,0,1,4,8,13,0
2019-02-08,35,0,1,9,14,6,0
2019-02-09,27,0,1,7,10,8,0
2019-02-10,33,0,3,11,16,11,0
2019-02-11,42,0,1,5,14,15,0
2019-02-12,43,0,0,11,13,7,0
2019-02-13,38,0,0,3,16,9,0
2019-02-14,38,0,1,4,10,4,0
2019-02-15,38,0,0,9,10,11,0
2019-02-16,38,0,0,7,8,5,0
2019-02-17,36,0,0,5,9,7,0
2019-02-18,41,0,0,10,8,8,0
2019-02-19,36,0,1,7,17,10,0
2019-02-20,32,0,1,10,11,10,0
2019-02-21,35,0,0,2,10,9,0
2019-02-22,34,0,0,3,11,6,0
